"CO","tin_oxide","Benzene","Titan","NOx","Tungsten.oxide","NO2","Tungsten","Indium.oxide","Temperature","Relative.Humidity","Absolute.Humidity"
6.9,1293.7,44,1141,331,832.7,207.6,2027.9,1856,13.3,77.4,3.7
7.1,1190.9,43.8,1012.5,386.4,747.4,189.3,1482.8,1623.3,9.8,65.1,3
2.4,478.4,15.3,166.4,102.6,1568.8,154.3,212.1,502.4,0.8,52.5,2
5.4,971.5,33.3,781.5,336.8,954.5,216.5,1112.4,1544.2,7,82.1,2.9
5.6,990.6,33.7,810.5,296.8,839.4,222.8,1188,1274.5,11.5,46.6,3
6.3,1077.4,38.5,842.9,191.7,1293.3,157,1721.8,1279.9,10,68,3.2
5.6,1078.8,31.5,733.5,378.4,877.5,240.5,1025.5,1626.6,2.8,94.5,2.6
5.8,1000.3,38.6,861.1,311.5,968.1,135.3,1423.3,1300.8,12.5,66.2,3.2
4.8,881.4,31.8,564.5,254.1,1351.5,138.8,872.1,1092.5,5.2,75.8,2.6
5.6,1029.7,37.8,875.8,321.1,968.3,180.7,1417.4,1397.2,9.1,86,3.1
6.6,1103.7,44.7,1085.9,302.3,972.7,214.2,1724.6,1507.3,14.1,53.4,3.1
8.3,1413.9,49.4,1299.2,515,504.9,305,1653.5,2358.5,5.6,81.2,3
5.1,877.3,29.2,571.1,251.2,1555.4,158.1,1024.3,919.5,13,47.2,2.7
3.5,563.8,22.3,325.7,173.9,1561.4,107.8,676.7,561.1,5.2,68.8,2.6
6.6,1188.3,45.1,1057.5,359.5,1281.8,170,1762.3,1558.6,10.1,74.3,3.1
8,1152.7,45,1117,419.2,808,202.2,1434.5,1774.7,9.5,53.4,2.9
6.1,1001.9,38,875.2,315.2,1208,176,1524.8,1057,9.7,63.4,2.9
6.8,1059.3,41.5,924.5,387.9,1271.3,179.7,1189.6,1497.4,0.5,78.1,2.1
3.7,612.1,29.2,551.3,130.9,1608.2,117.7,1135.4,464.7,14.5,36.9,2.9
7.7,1314.7,50.4,1365.2,368.8,555.8,199.1,2078.4,2012.1,19,54.8,3.9
7.1,945.6,45.4,1064,324.6,1186,145.2,1839.2,1555.7,15.3,59.7,3.6
6.9,1102.1,42.9,997.9,304.7,1035.1,142.7,2053.4,1448.3,11,94,3.9
7.1,1100.3,49.6,1211.5,317.5,890,220.9,1973.1,1692,17.5,47.7,3.5
6.3,1113.2,43.7,1047.5,307.4,1137.4,218.7,1688.1,1534.7,12.5,47.9,3
7.9,1321.8,49.8,1308.9,456.5,876.1,249.5,1803.5,1994,12.3,65.7,3.2
7.1,1254.1,48.4,1215.2,376.4,937.9,210.5,1959.5,1871.8,15.2,46.4,3.2
8.7,1406.2,47.3,1176.2,455.5,783.6,258.2,1658.2,1950.5,6.4,93.8,3
7,978.3,40.8,947,321.4,1338.4,222.9,1142.5,1232.5,12.1,38.7,2.5
6.1,1060.2,39.8,920.4,216.4,883.3,159.9,1654.1,1035.2,10.7,67.4,3.2
5.7,1185,40.5,977.1,375.7,864.4,196.9,1667,1581,8.8,86.7,3.4
5.3,862.9,33.4,678.8,289.3,1344.4,162.5,1209.4,894.2,8.8,59.1,2.9
8.3,1406.2,48.2,1288.3,416.2,735.2,260.2,1728,2083.4,8.3,88.4,3.3
7.8,1340.4,47.6,1209.1,435,688.4,215.6,1588.7,1810,11.3,48.3,3
5.7,954.8,37.7,851.1,280.4,1184.4,161.2,1298,1269.2,7.1,70.4,3
5.5,982.2,32.8,647.7,233.1,1200.3,142.3,1197.7,1135.6,8.8,64,3.2
9.3,1466.1,58.9,1616.5,529.4,598.2,246.8,2059.8,2227,17.1,49.2,3.3
6.3,942,35.9,782.1,232.1,1226.9,135.7,1265.6,1021.5,8.3,48,2.7
6.9,1109.9,39.4,844.1,391.5,1061.4,214.4,1380.1,1475.7,9.5,94.1,3.3
6.7,1065.8,39.4,920.6,298,1133.1,154.5,1464.5,1136.7,5.4,64.1,2.7
6.2,1264,43,1028.6,356.1,1084.6,148.1,1943.3,1734,13.6,93.6,3.9
7.6,1246.3,43.4,1127,373.7,760,271.6,1667.4,1872.3,9,86,3.3
5.6,929.3,35.5,755.5,323.3,1106.8,250.2,818.2,1060.7,5.1,40.7,1.8
5.2,955,30.8,618.2,372.4,1000.7,251.2,776.9,1221.3,2.5,67.1,2.4
2.7,822.7,24.2,465.2,93,1193.9,121.8,1094,636.7,10.3,61,3.2
8.7,1324.6,50.9,1280.8,497.2,941.6,223.8,1507.6,1847.1,7.9,74.7,2.8
6.1,1178.1,35.7,789,327.6,1049.2,195.5,1234.3,1600.2,4,86.2,2.9
4.7,818.5,32.5,713.5,191.1,1109.4,131.1,1461.1,1162.3,9.5,77.5,3.3
7.4,1245,45.3,1125.7,401.5,929.1,237.2,1596.5,1787.9,7.8,79.6,2.7
6.7,1094.9,41.9,1068.4,274,1201.3,176.5,1637.2,1234.4,15.3,54.8,3.2
4.8,1113.2,34,760.5,260.6,963.4,270.7,810.4,1530.4,-0.5,72.8,2.1
7,1035.8,39.8,983.6,331.2,1241.8,193.7,1428,1633.5,8.9,60,2.6
4.8,836.1,29.1,562.1,178.9,1244.9,141.5,1208.2,678.3,13,54.5,3.1
8.7,1518.6,52.6,1399.5,509.6,843,228.6,1949.8,2331.4,3.8,105.5,2.8
7.6,1190.9,48.3,1232.1,415.4,822.5,211.6,1652.1,1711.1,9,62.7,3
5.3,1086.1,34.2,741.3,256.1,1078.1,137.6,1487.5,1543.8,6.3,89.4,3.2
6,990.1,37.4,753.5,385.8,1217.7,184.9,1155.1,1253.7,4.2,78.1,3
7.6,1203.4,45.5,1104.5,261.7,1025.6,157.1,1907.5,1594.7,14.4,51,3.2
7.8,1259,48,1201.9,473.2,889.8,177.1,1883.3,2082.1,10.8,80.9,3.5
6.3,873.6,38.9,874.9,299.2,1208.2,154.5,1431.3,1165.5,12,60.4,3.1
8.9,1331.7,48.4,1216.4,572.4,832.1,292.7,1312.1,1950.9,2.9,85,2.6
3.6,865.5,25.7,502.4,250.5,1035.9,165,778.4,1132,1.6,94.5,2.6
3.8,770.2,31.7,622.1,309.8,1042,148.2,1030.6,1097.1,9.6,79.8,3.2
4,766.9,28.1,514.3,247.7,1395,124.5,983.2,870.7,5.1,84,2.7
6.4,1196.2,40.6,1042.5,368.7,847.4,193.7,1649.5,1712.7,12,82.9,3.3
10,1647.4,59.8,1660.3,569.9,286.3,299.4,1872.2,2232.5,10.6,60.1,3.1
6.3,1106.5,36.7,828.2,296.1,1049.1,182.4,1450.5,1525.6,5.8,84.3,3.1
6.9,1482,43.9,1127,398.4,614.2,221.4,1420.9,1972.4,4.6,89.3,2.9
4.3,793.2,34,722.3,159.2,1179.3,98.3,1456,886.8,14.6,53.8,3.3
4.8,976.6,36.1,779.8,244.6,1161.9,148.9,1198.4,1016.2,8,60.1,2.9
6.4,1067,43.2,937.7,392.8,1175,145,1545.6,1529.9,3.3,98.7,3.1
8.3,1305.1,51.7,1321.5,426.1,868.5,156.1,1866,1783.8,11.5,77.4,3.4
7.5,1246.8,49.8,1225.2,358.8,1092.3,200.4,2059.3,1797.9,17.8,46.1,3.4
7.8,1242.9,44.1,1060.4,363.7,907.9,176.7,1868.4,1502,4.5,93.3,3.3
5.3,823.3,30.9,651.9,311,1256.4,203.8,1288.9,1101.7,13.4,69.8,3.4
7.2,1433.3,42.8,1011.7,426.2,649.8,205.7,1325.2,1739.7,-0.3,90.2,2.5
7,1289,41.5,975.9,321.8,724.8,261.7,1335.1,1718.2,9.4,46.2,2.8
5.5,980.4,34.3,745.5,478.5,806,256,791.9,1471.6,0.4,102.8,2.8
6.1,1197.6,37.1,872.4,413.2,923,188.5,1384.4,1549.8,4,103,3.2
8.2,1431.3,44.7,1158.8,393.5,633.1,218.4,1662.5,1886.3,7.3,91.9,3.1
7.2,1214.3,44.3,1092.7,364.8,1086.4,184,1669.4,1472.2,10.6,62.7,2.9
6.4,1101.5,41.2,961.9,334.6,1055.8,223.6,1291.7,1389.5,10.6,33.1,2.5
7.6,1286.6,45.7,1190.2,315.8,976.2,213.2,1817.3,1792.2,11.5,65.3,3.2
4.5,742.3,29,505.3,336.5,1169.6,218.3,833.4,1126,4.7,68,2.8
6,1089.7,33.8,770.1,286.8,826.8,198,1182.3,1543.9,8.5,69.3,2.9
4.5,903,32.5,652.3,143.5,1223,95.9,1670.3,1136.3,13.9,86.4,3.6
5.8,1197.9,34,718.1,399.5,848.6,158.4,1092.1,1595.5,0.8,117.4,3
5.8,986.6,34.3,724.1,332.7,1147.2,192,1217,1365.5,4.4,91.4,3
8.1,1338.4,55.7,1425.6,380.6,1000.8,215.3,2239.4,1621.5,23.5,27.9,3.7
6.5,1290.3,43.2,1113.5,319.2,1004.1,178.8,1908.4,1657,14.1,65.4,3.8
6.2,1131.5,44.7,1064.1,350.1,820.8,159.9,1816.3,1652.6,9.1,97.7,3.5
10,1442.8,60.1,1604.1,648.3,698.5,274.1,1834.1,2181.1,10.5,59.3,2.9
7.4,1169.4,44.5,1113.7,341.1,1058.1,204.4,1616.7,1336.9,11.7,53.1,3.1
5.4,1048.2,35.8,842.3,261,935,112.6,1509.6,991.3,14.2,69.1,3.6
5.2,901,32.7,724.3,218.2,1565.6,130.3,1627.8,1058.8,10.8,68.6,3.4
8.3,1330.5,50.1,1285.5,444.4,463,203.7,1726.9,2241.7,8.5,77.5,3.2
8.2,1314.1,49.4,1283.5,394.7,577.6,233.6,1921.6,1867.1,14.2,77.9,3.7
4.3,792.6,30.5,640.9,321.3,1030.8,235.5,438.9,1153.3,1.1,66,2
6.3,954.5,41.8,920.6,265,1380.4,169.1,1670.3,1249.3,14.3,47.4,3.3
7.5,1201.1,41.9,1051.2,384.4,783.3,146.6,1797.6,1475.1,14.8,83.9,3.9
6.1,1078.9,40.4,979.2,336.5,1143.6,258.2,1266.9,1705.4,8.7,42.9,2.5
6.9,997.4,40.7,893.8,363.8,1156.7,158.4,1296.4,1276.9,8.8,61,2.9
6.8,1055.9,41.1,961.7,230.5,1088.7,174,1723.2,1406.2,14.2,58.9,3.4
6.8,1128.4,40.4,884,312.7,1309.6,176.9,1717.4,1213.4,11.5,73.2,3.4
4.5,723.4,31.1,525.2,289.4,1280.9,187.1,651.5,809.8,0.6,69.3,2.2
9.9,1643.1,60.8,1696.2,505.5,486.1,273.8,2245.9,2526.4,14.1,56.8,3.4
5,884,30.8,610.1,297,1269.6,93.4,1323.1,1010.1,9.8,81.5,3.3
10.8,1467,59.8,1599.7,516.5,411,263.2,1912.4,2419.5,7.5,87.9,3
4.4,573.1,29.6,540.3,228.6,1482.4,146.4,821.8,775,11.2,41,2.5
4.7,654.9,28.6,407.3,292.5,1636.8,136.3,882.9,723.9,7.5,57.2,2.8
6,1090.7,38.7,923,347.3,769,183.7,1406.7,1743.1,11.7,65.3,3.6
3.2,773.8,25.2,453.3,151.8,1203.5,163.6,517,915.2,2.9,51.6,2
4.4,835.9,27.7,467.1,123.3,1561.7,108.8,1261.4,657.1,9.5,81.2,3.4
9.4,1417.9,52.1,1470,449.2,664.3,218.4,2076.7,2158.5,14.6,59.8,3.3
3.9,500.8,28.7,489.1,250.3,1380.1,145,700.7,824,5.4,73.8,2.6
8.8,1118.5,50.5,1343.6,387.8,702,242.6,1553,1710.9,14.9,25.4,3
7.7,1218.7,38,886.8,421.2,1120.9,219.7,1335.5,1554.5,5.7,92.7,3.2
5.3,1117.4,35.7,774,321.9,1019.3,150.2,1369.8,1160,12.2,67.8,3.2
7.6,1418.6,43.1,1023.2,537.6,813.6,220.9,1370.8,2035.1,-1.9,125.9,3.1
7.2,1196.6,45.6,1155.1,449.3,668.1,272.1,1531.8,1958.4,9.9,61.6,3.2
5,983.7,34,711.1,291.1,1031.4,166.6,1214.7,942.9,8.2,77.7,3.2
6.1,1022.2,33.6,714.6,316.8,1093.6,158.8,1398.1,1406.8,7.7,90,3.3
5.1,1026.1,33.7,728.4,242.1,1408,165.7,1025.8,1341.9,9.2,37.8,2.5
7.8,1381.6,43.7,1136.3,398,428.6,232.9,1712,2113.2,5.8,110.9,3.6
8.2,1287.3,47.4,1146.1,495.9,965.8,213.2,1510.1,1982.7,3.3,98.8,2.8
6.7,993.6,40.8,954.8,409.7,983.7,237.5,1056,1453.2,8.2,55.6,2.6
7.9,1065.6,47.4,1089.1,314.3,1183.2,209.8,1585.8,1540.3,10.3,45.4,2.7
4.8,1007.3,32.6,697.9,279.1,979.1,135.9,900.8,1220.9,5.2,76.8,2.9
4.7,1065.2,33.2,745,199.9,1137.8,88.2,1669.9,1427,16.3,83.4,3.9
6.3,1079.3,39,937.5,351.4,783.3,240.3,1442,1472.7,9,66.8,3
6.3,1084.8,37.8,971.9,347.3,729,319.8,1206.6,1455.4,6.5,63.9,2.7
4.6,752.9,33.6,778.1,206.6,1061,198.6,1329.2,1012.2,15.6,41.5,3.2
3.3,747.3,21.4,338.2,238.5,1313.5,212,330.8,797.2,1.8,60.5,2.1
7.2,1216.2,44.6,1215.1,359.6,926.9,226.2,1902.1,1518.3,9.7,73.5,3.2
6.5,1258.6,43.9,1132.7,448.5,632.5,279.7,1322.2,1775.4,9.2,64.7,2.7
9.7,1595.4,57.4,1662,629.9,333.6,343,1869.3,2498.5,9.1,67.4,2.7
4.5,959.3,28.6,538.7,163.6,1141,102.8,1323.7,1146.6,8.6,76.9,3.4
5.1,1009,35,696.8,424.4,1111.7,200.2,945.6,1418.4,0.9,93.7,2.8
6.4,1073.1,41.7,1043.8,346,825.6,250.7,1263.3,1539.4,12.4,31.7,2.6
6.9,1198.8,46.7,1118.8,344.7,1015,234.1,1485.1,1709.7,8.4,47.5,2.4
7.4,1299.7,46.5,1208.8,378.8,898.5,215.8,1805.2,2129.6,8,70.3,2.9
6.4,1040,37.9,844.7,361.2,995.7,156.4,1826,1449.4,11.9,108.1,4.2
6.9,1169.3,42.1,1075.8,401.8,817,228.5,1716,1439.5,15.2,55.6,3.4
6.9,1084.9,41,983,383.6,1214,229.5,1327.6,1650.4,4.1,74.4,2.6
4.5,899.3,37.7,831.1,172,1155,150.5,1713.4,1228.6,16.3,57,3.5
4.5,995.8,28.3,587.8,311.2,1077.4,158.6,866.8,1271.6,8.2,79,3.1
6.4,1176.2,42.3,1087.4,203.4,796.3,131.4,1897.6,1487,13,64.2,3.4
8,1294,50.3,1253.6,452.1,991.8,215,1730.6,1817.4,10.5,65.2,3.2
7.7,1331.2,46.3,1231.6,352,708.7,176.4,1747,1755.7,14.2,56.3,3.1
6.4,1232.5,41.7,1041.6,429.9,919,265.1,1110.6,1750.4,2.8,65.8,2.4
4.4,779.5,28.9,523.8,152,1354.4,124.8,1340.9,601.6,14.2,67,3.5
8.2,1248.6,44.2,1063.5,441,990.8,206.7,1676.3,1734.9,12.3,53.9,3.1
5.8,811.7,34.7,759.1,324.3,1033.8,187.3,1154.9,1202.1,8.4,68.6,3
3.2,535.7,18.4,132.4,97.6,1586.6,84.1,547.6,406.5,3,79.4,2.5
6.2,1036.6,41.1,956.6,354,1164.2,169.6,1502.7,1086.5,10,74,3
6.1,1102.3,40.4,901.3,316.5,897.4,207.6,1712.9,1227.7,13,74.8,3.6
6.4,1169.9,38.7,901.1,295.2,1055.8,182.9,1643.4,1413.9,14.3,62.3,3.2
4.9,965,31.7,671.1,257.4,1304.2,151.8,1266.7,1044.4,16.1,43.2,3.2
9,1571.8,54.6,1422.6,493,581,244.1,1868.6,2362.5,-0.3,104.1,2.9
6,985,38.6,797.4,367.1,1186.6,131.1,1466.4,1066.5,8.9,77.9,3.4
4.4,902.7,32.6,716.6,178.3,1211.4,154.2,1327.1,939.1,15.4,36.2,2.8
5.6,929,36.9,787.1,282.2,1157.1,174.2,1149.6,1180,7.4,64,2.8
7.5,990.1,43,996.1,351.4,871.7,208.2,1407.9,1440.4,4.1,78.4,2.7
5.2,1078.1,38.3,903.1,278.3,842.7,188.8,1098.2,1427.4,8.4,53.1,2.8
7.8,1232.9,48.5,1178.5,449.7,1012.7,169.4,1846.5,1644.2,12.2,71.8,3.6
6.4,1222.8,41.9,1024.6,326.9,988.3,171.9,1665.8,1503.5,6.9,94,3.3
4.9,951.2,33.1,676.5,206,1117.8,196.1,1280,1248,6.4,73.3,2.9
6.2,1276.7,39.4,912.6,236.5,1038.7,161.7,1856,1609.7,9.2,104.6,3.9
5.7,1096.5,35.6,850.3,336.3,838.6,211,1176.1,1419.7,6.4,96.1,3
5.6,953.2,43.3,1061.3,261,1198.5,127.5,1587.9,1053,18.4,30.5,3.2
7.9,1352.7,50.3,1359.1,389.6,597.7,257.7,2009.1,1815.5,16.2,49.9,3.3
5.8,985.5,42.5,1138.6,323.9,895.5,154.1,1799.5,1646.1,17.1,61.3,3.6
6.2,1087.8,35.8,818.9,374.4,743.3,215,1063.3,1739,0,107.1,2.8
6.2,1091.3,35.2,730.4,244.2,1296.6,144.1,1410.5,1218.8,7,72.5,2.9
5.3,1065.4,35.9,748.4,318.4,1353.4,150.5,1230.2,1354.2,3,90.8,3
9.2,1372.7,51,1354.3,505.9,724.1,228.4,1877.6,2116.4,7.9,80.5,3.1
6.8,1175.1,37.2,880.9,430.3,828.6,190,1319.6,1716,7.6,78.4,3.1
7.2,1088.5,42.6,1031.5,383.6,1017.1,204.3,1456.4,1666.3,5.8,63.5,2.8
4.8,996.1,31.1,654.4,224.6,1263.6,110.8,1292.9,982.4,6.4,104.9,3.3
6.6,1210.1,40.2,941.6,352,802,243.4,1304.9,1774,1.5,76.3,2.4
4.3,868.9,30.2,701.8,313.2,865.7,179.8,1055.1,1053.4,7.5,74.1,3.1
5.9,1275.2,41.3,996.8,306.7,837.6,203.9,1743.8,1453,7.3,100,3.4
4.6,897.1,31.8,673.1,251.2,1043.7,166.4,1313.8,1181.8,9.4,73.6,3.1
7.4,1215.5,43.9,1155.9,271.5,835.5,200.3,1887.8,1754.1,16.3,57.9,3.3
7.1,1038.4,42.8,1036.2,379.7,953.3,192.3,1458.2,1462.8,8.5,81.8,3.2
5.4,1023,34.7,776.2,210.4,1014,134.6,1370.9,1177.5,10.1,71.6,3.2
4.9,877.9,35,795.1,142.3,1237.7,106.9,1476.4,1256.3,15,25.4,2.9
7.4,1379.7,47.3,1057.8,576,877.6,235.6,1489.6,2086.9,2,106.8,3
6.1,952.1,33.5,655,395.3,1103.4,183.9,860.2,1236.5,2.1,75,2.7
4.6,806.2,35.8,750.9,348.6,1046.4,176.6,971.7,1329.1,8.1,62.7,2.6
7.2,1255.3,45.2,1201.4,292.1,766.3,213.2,2230.6,1835.1,17.5,66.3,3.7
6.9,1266.8,41.4,996.1,393.3,728.3,211.3,1338,1728.4,10.3,59.1,2.9
6.4,1183.9,43.5,1094.8,429.4,758.8,208.6,1487.3,2000.3,9.4,79.1,3.5
9,1473.1,50.4,1335.7,480.3,706.9,253.8,1642.9,2067.5,6,66.8,2.5
5.7,890.5,36.4,820.9,323,965.1,186.7,1364.2,1336.6,10.9,59.2,3.3
5.6,850.3,37.9,905.6,259.7,1323.5,129.1,1558.8,943.1,17.3,38.8,3.3
5.5,862.1,38.3,906,363.3,1081.7,188.1,1204.3,1246.2,13,50.1,3
8.3,1387.3,49.4,1237.3,488.9,873.8,223.1,1578.5,1973.5,4.2,95.6,3.1
6.3,1238.6,42.5,1001.7,412.8,770.3,202.8,1516.1,1622.8,9.7,62.5,3.1
5.6,1030,33,766,290.7,832.6,184.7,1191.8,1598.8,8.2,70.5,3.1
6.8,1150.2,42.3,942.7,271,1268.8,168.9,1634.9,1348.6,12.5,68.3,3.2
3.8,772.1,29.6,531.4,99.2,1609.6,104.6,1322.4,590,13.8,43.6,3.2
5.9,1069.7,36.6,825.5,262,1084.5,146.6,1329.9,1362.7,6.5,86.7,2.9
8.1,1429.3,53.4,1418.2,468.7,534.8,197.9,2066.7,1958.9,14.6,70.3,3.9
3.1,513.6,27.8,509.6,123.2,1578.8,72.7,1400.8,761.9,13.8,63.3,3.6
5.4,1073.6,31.6,610.5,376.8,1160.2,213.9,645,1506.2,-0.8,80.6,2.2
6.4,1034.9,42.7,1016.1,268.6,1185.5,120.8,1984.3,1266.7,18.1,69.8,4
4.4,617.2,33,708,224.1,1351.3,172.6,1219.8,771.6,13.6,38.4,3
6.7,1241.4,47.2,1239.1,323.7,1123,101.6,2260.1,1795.4,15.1,92.8,4
5.5,775.9,34.9,811.3,298.4,1259.4,212.3,1124,1247.4,6.9,66,2.7
6.3,1196.4,40.6,971.7,331.4,792.2,191.1,1683.7,1499.3,13.4,72,3.5
6.8,1182.9,41.3,952.9,326,902,165.6,1657.9,1577.8,8.3,89.1,3.3
7.5,1203.7,47.3,1125.3,371.2,1040,187.5,1820.8,1444.5,9.3,76.9,3.2
7.6,1196.5,46.1,1153.4,338.4,903.9,160.9,1838.8,1775,12.4,75,3.7
5.1,988.1,31,663.8,341,883,182.3,1067.5,1624.6,1.7,102.7,3
5.3,973.1,34,729.2,367,1281.2,160.5,1170.5,1173.3,7.4,74.8,3
6.2,1022.2,39,945.5,346.5,890.6,184.9,1339.7,1305.8,10,62.2,3.1
3,732.1,28.9,543.6,102.4,1437.1,131.5,1198.2,725.3,10.5,49.1,2.8
6.9,1099.6,46.8,1167.9,317.3,1147.2,163.1,2103,1581,16,72.2,3.5
7.4,1201.3,44.4,1046.6,418.4,873.5,218.9,1479.3,1608.6,2.4,96.3,2.6
6.6,1192.6,45.1,1209.1,349,1042.1,207.2,1776.9,1549.2,17.1,61,3.3
4,824.7,31.3,644.8,340.4,859.7,137.3,1119.2,1153.3,6.5,110.8,3.4
6.5,1159.4,38.8,881.7,324.7,1212.9,193.8,1519.2,1496.3,12.6,46.9,2.8
5.7,969.7,34.4,687.8,276.5,1067.1,154.4,1150.1,1146.8,3.6,77.8,2.9
6.3,955.6,41.8,965.9,278.6,1121.4,205.1,1641.2,1350.9,11.4,53.9,3.1
6.4,1179.8,40.4,946.9,391,969.7,204,1457.3,1606.9,11,66.6,3.1
6.3,1188.1,41.1,1017.9,224.6,1121.7,157.8,1963.4,1486.5,14.2,68.9,3.6
6.4,1070.7,35.1,773.1,299.6,1159.6,188.3,1328.6,1234.8,8.9,61.7,2.8
6.9,1193.7,40.2,968.3,332.7,1058.5,192.1,1296.7,1567.6,8.3,56,2.5
6,1071.3,39.6,896.9,286.7,1051.2,190.2,1520.4,1158.4,15.6,45.2,3.2
5.7,1038.1,36.6,886,276.2,1000.5,176,1337,1601.9,8.9,54.4,2.8
5.9,1115.6,43.1,1019.8,265.8,1077.3,189.5,1621.7,1571.4,13.2,39.9,3.1
5.8,1088.8,38,963.8,239.5,1093.3,170.2,1453.6,1291.9,11.9,66.7,3.1
4.7,947.6,32.6,678.8,218.3,1014.4,213.6,990.4,863,5.7,60.4,2.4
7.3,1131,41.3,982.7,472,794.4,238.5,1078.3,1849.2,1.8,91.3,2.6
7.7,1448.3,46.6,1190.6,357.2,982.5,178.8,1953.2,1832.4,11.1,93.4,3.7
3.6,872.7,28.8,541.9,247.8,1062.3,215.3,659.7,1315.6,-2.3,74.7,2.1
8.9,1381.8,51.6,1324.7,337.3,865.4,251.7,1771.5,1899.2,5.7,69.5,2.9
7.7,1278.8,43.1,1046.5,529.7,810.6,233.6,1187.2,1939.2,1.9,107.1,2.8
5.9,896.5,34.5,755.9,379.1,1258,176.6,1105.8,1494.8,7.4,71,2.9
2.8,546.3,20.9,271,-7.8,1602.6,64.9,964.9,207.8,10.6,59.3,2.9
7,1245.1,43.7,1080.7,365.3,889.4,195.9,1508.9,1854.3,7.7,75.2,2.9
6.6,1218.7,43.6,1032.8,471.2,885.7,200.4,1565.8,1808.8,7.2,83.8,3.2
5.5,917,39.4,882.6,138.8,1315.2,126.2,1887.8,988.6,19.7,31.2,3.4
6.1,1089.5,40.5,1075.3,274.5,1025,206.8,1542.9,1390.5,14.6,29.6,2.7
7,1268.7,36.2,898.5,420.9,904.9,245.5,993.2,1443.3,1,77.5,2.2
6.5,1066.9,39,894.4,313.1,1231.2,249.9,1104.3,1497.3,7,52.9,2.3
7.2,1260.4,43.4,1028.9,307.2,1022.4,158.7,1844.3,1651.1,8.3,99.2,3.5
6.9,1070.4,44.6,1116.3,365.7,908.2,183.5,1897.1,1297.5,18.8,43.4,3.6
9.3,1533.7,55.7,1461.7,492.4,658.1,296.5,2031.1,2387.6,11.3,72.5,3.2
8.1,1328.2,48.5,1256.6,390.6,960.1,218,1833.8,1827.3,15.1,54.2,3.4
8.3,1312.2,51.2,1368.4,439.9,637.1,264.6,1769,2009.1,11.8,52.5,2.9
9.1,1474.6,50.4,1412.1,526.4,562.4,323.7,1749.6,2112.2,12.1,52.4,3
5,1154.8,37.7,915.4,241.5,1076.4,118.1,1647.6,1415.9,7.6,80.9,3.4
7.9,1327.1,45.2,1164.5,441.5,898.3,257.9,1448.9,1930,4.4,72,2.5
6.5,1204.9,38.8,847.1,423.8,1006.3,190.3,1182.9,1969.1,3.5,96.7,3.2
7.4,1203,45.1,1146.3,411.1,892.5,235.1,1576.8,1743.8,8.6,65.1,2.7
6,1127,41.1,1009.2,307.9,822,148.7,1688.9,1633.3,8.4,90.6,3.5
6.4,1230.4,37.2,949.7,437,704.8,282.2,1036.5,1607.4,3.8,73.8,2.4
5.8,1030.1,36.6,840.4,180.1,1238.5,145.4,1669.2,1183.6,14.7,55.1,3.2
7.3,1370.7,49.4,1298.5,340.2,953.8,201.9,2053.7,1569.8,16.8,44.6,3.3
6.4,972,40.9,974.2,288.2,1352.5,164,1458.3,1342.8,14.3,38.4,3
5.3,855.8,32.6,676,262.3,1387.7,191.1,1225.4,928.1,6.5,66.4,2.7
4.7,888.8,32.3,725.9,318.9,1125.4,217.3,938.1,893,15.5,26.2,2.7
7,1115.7,46.2,1188.3,497,741.2,282,1142.8,1957.5,8,44.2,2.4
6.3,1190.7,36.4,836.8,360.8,1165.2,221.2,1067.4,1515,3.5,67.8,2.4
7.9,1280.6,49.8,1214.3,477.3,773.8,166.7,1738.3,1851.1,9.6,88,3.6
9.5,1594.2,53.9,1475.6,514.8,491.5,273.1,1976.6,2270.2,7.9,85.4,3.1
7.2,1187,48.3,1216.9,355.3,991.8,209.6,1863.2,1631.3,12.3,41.9,2.8
7.2,1285.7,50.2,1271.3,456.3,794.5,216.5,1777.2,1850.3,12.7,53.6,3.3
8.6,1365.9,47.1,1168.9,464.3,1090.6,185.9,1858.2,1961.2,6.7,89.9,3.1
4.5,747.3,25.4,361.4,207,1468.8,168.7,357.2,711.7,0.7,58,2
6.2,1057.9,37.9,917.5,207.4,902,161.3,1444.1,1210.5,8.8,64.3,3.2
6.2,1140.8,36.5,840.2,305.9,1283,189.1,1496.6,1221.8,9.4,60.4,3.1
5.7,1019.1,39.3,901.9,268.5,1261.8,164.6,1284.9,1285.6,7.3,65.4,2.8
5.7,1023.3,37.2,896.3,233.3,868.8,227.9,1446.6,1395.7,12.7,45.7,3.2
6.2,1231.8,38.8,968.2,434.1,843.6,234.9,1145.9,1560.5,6.6,64.3,2.4
5.7,1034.6,36.9,884.5,278.8,976.2,184.5,1528.6,1311.1,10.1,79,3.4
6.7,1018,39.9,979.2,428.8,843.8,271.2,1305.6,1693.8,6.3,70.9,2.6
8.6,1279.1,50,1200.6,404.2,967,229.5,1610.8,1578.2,8.3,60,2.9
7.7,1317.8,48.2,1177.2,386.2,1025.3,172.3,1931.2,2176.5,7.9,93.1,3.3
6.1,982.8,37.3,850.5,350.1,1112.8,195.6,906.9,1492.3,5.5,64,2.4
5.6,988.5,33.3,603.9,254.2,1333.2,154.7,1072.9,1161.2,4.9,70.9,2.8
7.3,1087,48.2,1210,321.7,1114.8,194.5,1629.6,1531.6,18,10.4,2.7
5,745.1,29.2,512.1,276.1,1464.2,134,928.5,820.1,6.7,75.6,2.8
